DACN,Instance,n,p,radius,maplecm nsc,maplechrono nsc,sparrow2riss nsc,glucose4 nsc,kissat nsc,nsc with reduction #vars,nsc with reduction #clauses,glucose4 pypb_bdd,pypb_bdd #vars,pypb_bdd #clauses,KLTN,glucose4 nsc binary total,glucose4 nsc kary total,glucose4 nsc incremental binary #vars,glucose4 nsc incremental binary #clauses,glucose4 nsc incremental binary total,cplex_mip binary total,gurobi_mip binary total,glucose4 nsc cplex hybrid_race total,glucose4 nsc gurobi hybrid_race total,rc2 binary search,openwbo binary search
,u1060,1060,10,2273.083802,0.554,4.32,138.041,0.226,0.53,10537,20967,1.122,6742,15023,,6.187,4.933,11623,41210,3.461,7.945,9.663,6.498,6.404,8.06,5.008
,u1060,1060,20,1580.795158,7.744,17.824,90.471,1.524,1.76,19933,39828,40.031,9913,20635,,16.778,11.334,22067,61020,40.01,10.877,17.92,10.605,16.1,14.468,18.841
,u1060,1060,30,1207.773473,5.837,16.446,131.073,1.771,2.87,25585,51026,78.153,11526,22969,,14.25,9.521,32412,81690,21.792,9.055,9.841,8.755,9.494,17.377,19.828
,u1060,1060,40,1020.560953,5.548,13.436,94.171,0.758,1.2,33785,67402,7.821,12923,25708,,14.768,10.9,42657,102160,21.187,8.153,7.48,8.337,7.724,18.98,15.033
,u1060,1060,50,904.923426,7.621,16.05,149.919,1.875,3.87,34483,68689,1726.956,12377,24586,,23.719,16.282,52802,122430,42.125,7.984,10.765,7.988,10.94,27.323,16.497
,u1060,1060,60,781.1698617,2.966,11.303,138.376,0.689,0.5,35116,69856,95.388,12334,23841,,15.482,11.146,62848,143560,12.398,8.077,9.044,8.284,9.278,22.041,10.451
,u1060,1060,70,710.7469705,4.763,10.901,165.616,0.655,1.3,40024,79636,193.462,12596,24675,,16.315,12.184,72793,163430,8.512,10.267,9.839,10.594,10.07,23.454,9.987
,u1060,1060,80,652.162749,3.06,13.532,190.61,0.912,2.64,47170,93947,218.025,14100,26271,,16.17,11.166,82637,182040,10.949,5.879,4.838,6.181,5.181,15.097,8.43
,u1060,1060,90,607.865274,2.132,5.019,172.336,0.499,1.09,42153,83813,14.008,13103,23972,,16.82,12.549,92382,201510,11.016,5.216,4.629,5.519,5.018,14.582,6.997
,u1060,1060,100,570.0089201,3.907,7.658,253.434,0.911,1.4,60568,120728,10.261,16044,30371,,19.083,13.579,102027,220780,11.332,5.026,4.453,5.34,4.813,14.494,6.864
,u1060,1060,110,538.8359487,6.81,7.973,263.447,0.816,2.44,62354,124267,25.223,16065,30364,,20.108,14.184,111572,239850,11.985,4.875,4.384,5.17,4.792,14.395,6.744
,u1060,1060,120,510.2706703,3.733,10.79,236.056,0.803,1.53,58897,117289,15.128,15278,28276,,24.159,15.878,121018,259780,12.833,4.883,4.781,5.238,5.1,14.722,6.936
,u1060,1060,130,499.65,2.64,2.912,11.233,0.329,1.22,51487,102367,2.92,13731,25188,,22.122,15.675,130362,277390,9.767,4.394,4.31,4.8,4.681,14.407,7.183
,u1060,1060,140,452.4622773,0.787,0.918,8.533,0.143,0.3,31741,62761,0.752,9323,17811,,24.715,17.299,139607,295860,12.168,4.254,4.349,4.704,4.614,14.425,7.161
,u1060,1060,150,447.0079288,0.99,1.974,33.128,0.178,0.2,34895,69066,1.565,9887,18905,,25.569,18.463,148752,314130,11.229,4.295,4.282,4.672,4.6,14.344,7.184
,Num.,,,,15,15,15,15,15,,,15,,,,15,15,,,15,15,15,15,15,15,15
,Avg.,,,,3.94,9.404,138.43,0.806,1.523,,,162.054,,,,18.416,13.006,,,16.051,6.745,7.372,6.846,7.254,16.545,10.21
