Instance,n,p,radius,maplecm nsc,maplecm pysat_sc,maplechrono nsc,maplechrono pysat_sc,sparrow2riss nsc,sparrow2riss pysat_sc,kissat nsc,glucose4 nsc
u1817,1817,10,457.905012,6.154,5.316,24.828,30.562,182.628,181.308,3.1,4.057
u1817,1817,20,309.0142005,79.509,144.564,121.032,51.989,262.019,283.015,53.37,1138.407
u1817,1817,30,240.9876937,60.535,124.016,78.929,135.566,490.733,488.371,70.76,302.879
u1817,1817,40,209.448916,229.85,228.827,185.974,104.583,437.029,519.386,201.09,219.119
u1817,1817,50,184.905176,566.614,438.271,298.264,427.961,1589.417,1497.548,645.26,1633.878
u1817,1817,60,162.6377945,120,223.344,135.467,66.879,519.322,567.786,21.9,48.547
u1817,1817,70,148.1096087,71.568,68.488,78.584,59.583,621.47,625.079,21.5,41.015
u1817,1817,80,136.7739014,921.135,529.309,578.812,665.887,1740.522,1932.42,179.08,1104.255
u1817,1817,90,129.5072515,443.242,817.181,275.594,263.747,2294.338,2188.003,132.27,1985.104
u1817,1817,100,126.9940003,133.529,126.556,92.223,116.61,964.684,963.155,31.37,55.849
u1817,1817,110,109.2495309,72.242,69.184,65.54,65.271,926.847,929.579,18.54,26.299
u1817,1817,120,107.7630744,42.887,44.681,47.253,32.641,921.667,922.305,11.15,12.019
u1817,1817,130,104.7293087,1236.574,3511.252,414.397,511.811,1537.314,1554.485,264.6,550.672
u1817,1817,140,101.6,203.156,270.506,242.049,122.56,1092.454,1031.967,38.7,107.406
u1817,1817,150,91.60319045,214.924,230.135,163.276,206.522,1056.894,1006.01,27.72,65.489
Num.,,,,15,15,15,15,15,15,15,15
Avg.,,,,293.461,455.442,186.815,190.811,975.822,979.361,114.694,486.333
